city,region_id,area_acres
Goleta,1,5075.981606540898
Guadalupe,2,851.2876726766672
Lompoc,3,7463.782502162684
Santa Maria,4,15015.956497200676
Solvang,5,1563.485477977191
Buellton,6,1025.839280830056
Carpinteria,7,1640.9665458775146
Santa Barbara,8,12497.422010048182
Outside Cities,9,1588351.39490563
