region_id,city,year,gw_score
1,Goleta,1938,9.55498266358704
1,Goleta,1941,97.68555302853925
1,Goleta,1954,0
1,Goleta,1955,0.1948025382310131
1,Goleta,1964,5.286037210919841
1,Goleta,1967,0
1,Goleta,1970,97.97440450995909
1,Goleta,1971,54.90929732522954
1,Goleta,1972,58.304715377832444
1,Goleta,1973,55.16919374927393
1,Goleta,1974,48.88903517427142
1,Goleta,1975,46.40176297207195
1,Goleta,1976,47.52802937102876
1,Goleta,1977,41.39170645383148
1,Goleta,1978,50.034975185509445
1,Goleta,1979,41.35278944029576
1,Goleta,1980,55.52560087244536
1,Goleta,1981,41.344316008836294
1,Goleta,1982,52.24639724599763
1,Goleta,1983,49.39879587342917
1,Goleta,1984,33.67057647500053
1,Goleta,1985,15.223383875275932
1,Goleta,1986,16.41454712709151
1,Goleta,1987,17.310528175551436
1,Goleta,1988,10.330574880484809
1,Goleta,1989,5.557226798397005
1,Goleta,1990,5.760571308604176
1,Goleta,1991,5.272837176269955
1,Goleta,1992,5.635418450828049
1,Goleta,1993,6.750803392594696
1,Goleta,1994,7.355926440075496
1,Goleta,1995,9.474632125660357
1,Goleta,1996,11.172944941354398
1,Goleta,1997,13.279201486078179
1,Goleta,1998,19.037894505070863
1,Goleta,1999,20.90346542457043
1,Goleta,2000,24.629717387215976
1,Goleta,2001,29.994564691230973
1,Goleta,2002,29.348308320123873
1,Goleta,2003,37.50687849750232
1,Goleta,2004,40.253227320552455
1,Goleta,2005,57.274661532448214
1,Goleta,2006,73.19463007688957
1,Goleta,2007,62.92127715637021
1,Goleta,2008,46.43554721254726
1,Goleta,2009,38.00969012663185
1,Goleta,2010,43.86278001759834
1,Goleta,2011,Inf
1,Goleta,2012,60.62098791000432
1,Goleta,2013,46.61428539220509
1,Goleta,2014,32.626650500750756
1,Goleta,2015,19.558386347602337
1,Goleta,2016,13.207008220913808
1,Goleta,2017,10.771206409607824
1,Goleta,2018,8.883484716338709
1,Goleta,2019,8.612210168565351
1,Goleta,2020,8.288235336630972
8,Santa Barbara,1924,71.71428571428572
8,Santa Barbara,1931,10.358345232223026
8,Santa Barbara,1932,71.5307582260372
8,Santa Barbara,1933,71.49573510645443
8,Santa Barbara,1934,71.46713977167542
8,Santa Barbara,1935,71.45213355010486
8,Santa Barbara,1936,71.44854027716761
8,Santa Barbara,1941,71.46733863151773
8,Santa Barbara,1948,27.15007980168301
8,Santa Barbara,1949,9.410326393244754
8,Santa Barbara,1950,34.71682695743659
8,Santa Barbara,1951,69.42003377997973
8,Santa Barbara,1952,70.14115589631251
8,Santa Barbara,1953,72.37139466958743
8,Santa Barbara,1954,69.32304944924117
8,Santa Barbara,1955,69.43935896256782
8,Santa Barbara,1956,41.899379030034346
8,Santa Barbara,1957,48.10712722013887
8,Santa Barbara,1958,45.23816909861913
8,Santa Barbara,1959,52.93804636128294
8,Santa Barbara,1960,33.07100309829292
8,Santa Barbara,1961,13.704219950367202
8,Santa Barbara,1962,15.230440168683899
8,Santa Barbara,1963,6.528150354170731
8,Santa Barbara,1964,2.3311831242942502
8,Santa Barbara,1965,1.0786059775433974
8,Santa Barbara,1966,3.620505740719273
8,Santa Barbara,1967,11.560068233735226
8,Santa Barbara,1968,32.620323392568295
8,Santa Barbara,1969,17.318486943917836
8,Santa Barbara,1970,22.282020977066367
8,Santa Barbara,1971,41.58496226570825
8,Santa Barbara,1972,51.523389651356126
8,Santa Barbara,1973,58.43305048643249
8,Santa Barbara,1974,58.59846771887102
8,Santa Barbara,1975,67.20571347466827
8,Santa Barbara,1976,54.52773094434506
8,Santa Barbara,1977,55.2562904731148
8,Santa Barbara,1978,45.78710564834465
8,Santa Barbara,1979,28.089717288238084
8,Santa Barbara,1980,23.999379908979282
8,Santa Barbara,1981,28.977886960864655
8,Santa Barbara,1982,39.580027723475226
8,Santa Barbara,1983,57.07144393212602
8,Santa Barbara,1984,49.592039012873286
8,Santa Barbara,1985,44.9530331816306
8,Santa Barbara,1986,47.07507859522579
8,Santa Barbara,1987,48.57344928321527
8,Santa Barbara,1988,44.098886630527296
8,Santa Barbara,1989,37.55014985278629
8,Santa Barbara,1990,23.864687450479682
8,Santa Barbara,1991,25.693825848028506
8,Santa Barbara,1992,31.94062014544776
8,Santa Barbara,1993,45.1445207105477
8,Santa Barbara,1994,44.983540090594445
8,Santa Barbara,1995,57.683650975992855
8,Santa Barbara,1996,58.54621489897231
8,Santa Barbara,1997,61.047666736894314
8,Santa Barbara,1998,68.68444667626304
8,Santa Barbara,1999,65.18531452498671
8,Santa Barbara,2000,63.48599080073922
8,Santa Barbara,2001,69.58066449010359
8,Santa Barbara,2002,64.45034261178864
8,Santa Barbara,2003,63.29011890605883
8,Santa Barbara,2004,59.98055470967596
8,Santa Barbara,2005,Inf
8,Santa Barbara,2006,Inf
8,Santa Barbara,2007,Inf
8,Santa Barbara,2008,52.67922222769586
8,Santa Barbara,2009,46.34132620376059
8,Santa Barbara,2010,46.36515354581135
8,Santa Barbara,2011,58.38242986794089
8,Santa Barbara,2012,51.328697967723855
8,Santa Barbara,2013,51.10374380929048
8,Santa Barbara,2014,41.52685682868165
8,Santa Barbara,2015,33.7669393824704
8,Santa Barbara,2016,25.726590942911145
8,Santa Barbara,2017,31.441333688391154
8,Santa Barbara,2018,32.80879779066164
8,Santa Barbara,2019,35.969742033291894
8,Santa Barbara,2020,33.69074737252298
9,Outside Cities,1938,51.45828617567013
9,Outside Cities,1939,10.259075568562983
9,Outside Cities,1940,34.96612520027748
9,Outside Cities,1941,36.72579628181871
