label,weight,color
Housing,14.285714285714286,#D53E4F
Transportation,14.285714285714286,#FC8D59
Growth,14.285714285714286,#FEE08B
Culture,14.285714285714286,#FFFFBF
Resilience,14.285714285714286,#E6F598
Environment,14.285714285714286,#99D594
Green Space,14.285714285714286,#3288BD
